                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77821,                0.50888,                0.96426,                0.93204,                0.96633,                 0.9796,                0.74104,                0.91573,                0.53544,                0.99737,              0.0006536,              0.0006536,              0.0006536
                     37,                0.74475,                0.49093,                0.95122,                0.93111,                0.96963,                 0.9784,                0.73943,                0.90925,                0.50643,                0.95898,               0.000614,               0.000614,               0.000614
                     38,                0.77021,                0.50241,                0.96657,                0.92734,                0.94876,                0.96166,                0.72372,                0.93912,                0.52893,                0.97239,              0.0005744,              0.0005744,              0.0005744
                     39,                0.74069,                0.49473,                0.95778,                0.95418,                  0.959,                0.97694,                0.74017,                0.90813,                0.51382,                0.97525,              0.0005348,              0.0005348,              0.0005348
                     40,                0.72591,                0.47361,                0.94961,                0.95539,                0.94143,                0.97891,                0.73597,                0.91747,                0.49529,                 0.9627,              0.0004952,              0.0004952,              0.0004952
                     41,                0.69284,                0.49762,                0.93055,                0.95246,                0.91947,                0.97727,                0.73708,                0.92055,                 0.5219,                0.98883,              0.0004556,              0.0004556,              0.0004556
                     42,                0.68349,                0.45906,                0.93127,                0.94459,                0.95461,                0.96675,                0.74276,                0.91672,                0.52169,                0.99974,               0.000416,               0.000416,               0.000416
                     43,                0.67722,                0.47007,                 0.9306,                0.92054,                0.96688,                0.95377,                0.73024,                0.92144,                0.50327,                 1.0029,              0.0003764,              0.0003764,              0.0003764
                     44,                0.66514,                0.43788,                0.93153,                0.94435,                  0.959,                0.98104,                 0.7446,                0.91987,                0.48857,                0.97572,              0.0003368,              0.0003368,              0.0003368
                     45,                0.65249,                0.43019,                0.92614,                0.92537,                0.97511,                0.97422,                 0.7466,                0.89472,                0.47473,                0.96314,              0.0002972,              0.0002972,              0.0002972
                     46,                0.63503,                0.42554,                0.91566,                0.93415,                0.97072,                0.98065,                0.75187,                0.89835,                0.46761,                0.96136,              0.0002576,              0.0002576,              0.0002576
                     47,                0.63335,                0.41651,                0.91674,                0.94651,                0.95855,                0.98176,                0.74389,                0.93264,                0.48263,                0.97166,               0.000218,               0.000218,               0.000218
                     48,                0.64044,                0.40865,                 0.9148,                0.94983,                0.95168,                0.97634,                0.74948,                0.92425,                0.49143,                0.97684,              0.0001784,              0.0001784,              0.0001784
                     49,                0.63296,                0.42204,                0.91306,                0.95188,                0.95461,                  0.978,                0.75321,                0.89501,                0.48236,                0.95807,              0.0001388,              0.0001388,              0.0001388
                     50,                0.60166,                0.39666,                0.90372,                0.96743,                0.94729,                0.98356,                0.75751,                0.88762,                0.46978,                0.95837,               9.92e-05,               9.92e-05,               9.92e-05
